"station_name","line_name","station_location_longitiude","station_location_latitiude"
"World Trade Centre Metro Station","Red Metro Line","55.285061000000","25.224829000000"
"Emirates Towers Metro Station","Red Metro Line","55.279821000000","25.217214000000"
"Financial Centre Metro Station","Red Metro Line","55.275587000000","25.211030000000"
"Burj Khalifa/ Dubai Mall Metro Station","Red Metro Line","55.269518000000","25.201401000000"
"Business Bay Metro Station","Red Metro Line","55.260419000000","25.191275000000"
"Noor Bank Metro Station","Red Metro Line","55.228509000000","25.155727000000"
"First Abu Dhabi Bank Metro Station","Red Metro Line","55.207898000000","25.126721000000"
"Mall of the Emirates Metro Station","Red Metro Line","55.200443000000","25.121231000000"
"Sharaf DG Metro Station","Red Metro Line","55.190931000000","25.114809000000"
"Dubai Internet City  Metro Station","Red Metro Line","55.173781000000","25.102095000000"
"Nakheel Metro Station","Red Metro Line","55.158026000000","25.088917000000"
"DAMAC Properties Metro Station","Red Metro Line","55.147523000000","25.079929000000"
"DMCC Metro Station","Red Metro Line","55.138673000000","25.070824000000"
"Nakheel Harbour & Tower Metro Station","Red Metro Line","55.127173000000","25.057853000000"
"Ibn Battuta Metro Station","Red Metro Line","55.117528000000","25.046726000000"
"Energy  Metro Station","Red Metro Line","55.101247000000","25.026291000000"
"Danube Metro Station","Red Metro Line","55.095698000000","25.001291000000"
"UAE Exchange Metro Station","Red Metro Line","55.091041000000","24.977524000000"
"Etisalat Metro Station","Green Metro Line","55.401007000000","25.254805000000"
"Al Qusais  Metro Station","Green Metro Line","55.387476000000","25.262659000000"
"Dubai Airport Free Zone Metro Station","Green Metro Line","55.375009000000","25.269929000000"
"Al Nahda Metro Station","Green Metro Line","55.369341000000","25.273274000000"
"Stadium Metro Station","Green Metro Line","55.361580000000","25.277802000000"
"Al Qiyadah Metro Station","Green Metro Line","55.352765000000","25.277667000000"
"Abu Hail Metro Station","Green Metro Line","55.346268000000","25.275242000000"
"Abu Baker Al Siddique Metro Station","Green Metro Line","55.332983000000","25.270904000000"
"Salah Al Din Metro Station","Green Metro Line","55.320669000000","25.270345000000"
"Union  (Green Line ) Metro Station","Green Metro Line","55.313903000000","25.266336000000"
"Baniyas Square Metro Station","Green Metro Line","55.307602000000","25.269416000000"
"Palm Deira Metro Station","Green Metro Line","55.301778000000","25.276196000000"
"Al Ras Metro Station","Green Metro Line","55.293728000000","25.268862000000"
"Al Ghubaiba Metro Station","Green Metro Line","55.288954000000","25.265085000000"
"Al Fahidi  Metro Station","Green Metro Line","55.297559000000","25.258301000000"
"BurJuman Metro Station","Green Metro Line","55.304253000000","25.254856000000"
"Oud Metha Metro Station","Green Metro Line","55.315957000000","25.243667000000"
"Dubai Healthcare City Metro Station","Green Metro Line","55.322867000000","25.230903000000"
"Al Jadaf Metro Station","Green Metro Line","55.333674000000","25.224978000000"
"Creek Metro Station","Green Metro Line","55.338953000000","25.218949000000"
"Rashidya Depot","Red Metro Line","55.401054000000","25.229889000000"
"Rashidiya Metro Station","Red Metro Line","55.391198000000","25.230223000000"
"Emirates Metro Station","Red Metro Line","55.365727000000","25.241059000000"
"Airport Terminal 3 Metro Station","Red Metro Line","55.359526000000","25.245013000000"
"Airport Terminal 1 Metro Station","Red Metro Line","55.352474000000","25.248428000000"
"GGICO  Metro Station","Red Metro Line","55.340034000000","25.249497000000"
"Deira City Centre Metro Station","Red Metro Line","55.330077000000","25.254304000000"
"Al Rigga Metro Station","Red Metro Line","55.324123000000","25.263261000000"
"Union  Metro Station","Red Metro Line","55.313903000000","25.266336000000"
"BurJuman Metro Station","Red Metro Line","55.304253000000","25.254856000000"
"ADCB Metro Station","Red Metro Line","55.298196000000","25.244494000000"
"Al Jafiliya Metro Station","Red Metro Line","55.292132000000","25.233497000000"
